"country","year","value","published","note","type"
"Cambodia",2013,35024,"2019 to 2023",NA,"unpaved"
"Cameroon",2002,5398,"2006",NA,"paved"
"Cameroon",2002,80932,"2006",NA,"total"
"Cameroon",2002,75534,"2006",NA,"unpaved"
"Cameroon",2004,5000,"2007 to 2011",NA,"paved"
"Cameroon",2004,50000,"2007 to 2011",NA,"total"
"Cameroon",2004,45000,"2007 to 2011",NA,"unpaved"
"Cameroon",2008,5000,"2012",NA,"paved"
"Cameroon",2008,50000,"2012",NA,"total"
"Cameroon",2008,45000,"2012",NA,"unpaved"
"Cameroon",2011,4108,"2013 to 2018",NA,"paved"
"Cameroon",2011,51350,"2013 to 2018",NA,"total"
"Cameroon",2011,47242,"2013 to 2018",NA,"unpaved"
"Cameroon",2016,5133,"2019 to 2023",NA,"paved"
"Cameroon",2016,77589,"2019 to 2023",NA,"total"
"Cameroon",2016,72456,"2019 to 2023",NA,"unpaved"
"Canada",2005,415600,"2006","including 17000 km of expressways","paved"
"Canada",2005,1042300,"2006",NA,"total"
"Canada",2005,626700,"2006",NA,"unpaved"
"Canada",2006,415600,"2007 to 2009","includes 17000 km of expressways","paved"
"Canada",2006,1042300,"2007 to 2009",NA,"total"
"Canada",2006,626700,"2007 to 2009",NA,"unpaved"
"Canada",2008,415600,"2010 to 2014","includes 17000 km of expressways","paved"
"Canada",2008,1042300,"2010 to 2014",NA,"total"
"Canada",2008,626700,"2010 to 2014",NA,"unpaved"
"Canada",2009,415600,"2011","includes 17000 km of expressways","paved"
"Canada",2009,1042300,"2011",NA,"total"
"Canada",2009,626700,"2011",NA,"unpaved"
"Canada",2011,415600,"2015 to 2023","includes 17000 km of expressways","paved"
"Canada",2011,415600,"2015 to 2023",NA,"paved"
"Canada",2011,1042300,"2015 to 2023",NA,"total"
"Canada",2011,626700,"2015 to 2023",NA,"unpaved"
"Cayman Islands",2002,785,"2006 to 2007",NA,"paved"
"Cayman Islands",2002,785,"2006 to 2007",NA,"total"
"Cayman Islands",2007,785,"2008 to 2023",NA,"paved"
"Cayman Islands",2007,785,"2008 to 2023",NA,"total"
"Central African Republic",1999,23810,"2006 to 2007",NA,"total"
"Central African Republic",2000,24307,"2008 to 2011",NA,"total"
"Central African Republic",2010,1385,"2015 to 2018",NA,"paved"
"Central African Republic",2010,20278,"2012 to 2018",NA,"total"
"Central African Republic",2010,18893,"2015 to 2018",NA,"unpaved"
"Central African Republic",2018,700,"2019 to 2023",NA,"paved"
"Central African Republic",2018,24000,"2019 to 2023",NA,"total"
